file	line	concern	signals	source	semantic-review
src/app/component/analysis-setup/analysis-setup.component.ts	384	analysis-result	compound-material	return row.body instanceof RealLink && !row.body.moiIsCustom;	pending
src/app/component/analysis-setup/analysis-setup.component.ts	409	analysis-result	compound-material	if (row.isBlock || !(row.body instanceof RealLink)) return false;	pending
src/app/component/analysis-setup/analysis-setup.component.ts	423	analysis-result	compound-material	return this.mechanism.links.some((link) => link instanceof RealLink && link.moiIsCustom);	pending
src/app/component/analysis-setup/analysis-setup.component.ts	440	analysis-result	compound-material	if (link instanceof RealLink) {	pending
src/app/component/analysis-setup/analysis-setup.component.ts	478	analysis-result	compound-material	if (!this.massEditable() || !this.moiEditable(row) || !(row.body instanceof RealLink)) return;	pending
src/app/component/analysis-setup/analysis-setup.component.ts	486	analysis-result	shape-frame	row.body.massMoI = this.nup.convertInertia(value, display, this.nup.storedInertiaUnit(length));	pending
src/app/component/analysis-setup/analysis-setup.component.ts	503	analysis-result	point-topology,compound-material	if (part instanceof RealJoint || part instanceof RealLink) {	pending
src/app/component/analysis-setup/analysis-setup.component.ts	508	analysis-result	compound-material	if (part instanceof RealLink && EditPanelComponent.instance) {	pending
src/app/component/edit-panel/edit-panel.component.html	530	topology-or-consumer	point-topology	[disabled]="activeSrv.selectedLink.joints.length > 2"	pending
src/app/component/edit-panel/edit-panel.component.html	650	topology-or-consumer	point-topology	@for (joint of activeSrv.selectedLink.joints; track joint.id) {	pending
src/app/component/edit-panel/edit-panel.component.html	683	topology-or-consumer	shape-frame	_formControl="massMoI"	pending
src/app/component/edit-panel/edit-panel.component.ts	175	topology-or-consumer	shape-frame	this.linkForm.controls.massMoI,	pending
src/app/component/edit-panel/edit-panel.component.ts	188	topology-or-consumer	point-topology	return this.mechanismService.joints.length === 0 && this.mechanismService.links.length === 0;	pending
src/app/component/edit-panel/edit-panel.component.ts	321	topology-or-consumer	shape-frame	freeze(this.linkForm, ['mass', 'massMoI']);	pending
src/app/component/edit-panel/edit-panel.component.ts	527	topology-or-consumer	shape-frame	massMoI: [''],	pending
src/app/component/edit-panel/edit-panel.component.ts	738	topology-or-consumer	point-topology	const held = this.activeSrv.selectedLink.joints.filter((joint) => frozenIds.has(joint.id));	pending
src/app/component/edit-panel/edit-panel.component.ts	739	topology-or-consumer	point-topology	if (held.length >= this.activeSrv.selectedLink.joints.length) {	pending
src/app/component/edit-panel/edit-panel.component.ts	890	topology-or-consumer	shape-frame	private reposeCylinder(span?: number, angleRad?: number): void {	pending
src/app/component/edit-panel/edit-panel.component.ts	897	topology-or-consumer	shape-frame	const ang = angleRad ?? current;	pending
src/app/component/edit-panel/edit-panel.component.ts	1000	topology-or-consumer	compound-material	(part) => part instanceof RealLink && (part.moiIsCustom || part.comIsCustom)	pending
src/app/component/edit-panel/edit-panel.component.ts	1015	topology-or-consumer	compound-material	if (part instanceof RealLink) {	pending
src/app/component/edit-panel/edit-panel.component.ts	1036	topology-or-consumer	point-topology	if (joint instanceof PrisJoint) return joint;	pending
src/app/component/edit-panel/edit-panel.component.ts	1038	topology-or-consumer	point-topology	return slider instanceof PrisJoint ? slider : undefined;	pending
src/app/component/edit-panel/edit-panel.component.ts	1196	topology-or-consumer	point-topology	if (this.activeSrv.selectedLink.joints.length > 2) {	pending
src/app/component/edit-panel/edit-panel.component.ts	1405	topology-or-consumer	point-topology	this.activeSrv.selectedJoint.connectedJoints.forEach((j) => {	pending
src/app/component/edit-panel/edit-panel.component.ts	1406	topology-or-consumer	point-topology	if (j instanceof PrisJoint) {	pending
src/app/component/edit-panel/edit-panel.component.ts	1685	topology-or-consumer	shape-frame	this.activeSrv.selectedLink.angleRad,	pending
src/app/component/edit-panel/edit-panel.component.ts	1705	topology-or-consumer	shape-frame	this.activeSrv.selectedLink.angleRad = radians;	pending
src/app/component/edit-panel/edit-panel.component.ts	1753	topology-or-consumer	shape-frame	this.linkForm.controls['massMoI'].valueChanges.subscribe((val) => {	pending
src/app/component/edit-panel/edit-panel.component.ts	1764	topology-or-consumer	shape-frame	this.activeSrv.selectedLink.massMoI = this.nup.convertInertia(	pending
src/app/component/edit-panel/edit-panel.component.ts	1852	topology-or-consumer	shape-frame	this.activeSrv.selectedForce.angleRad,	pending
src/app/component/edit-panel/edit-panel.component.ts	2064	topology-or-consumer	shape-frame	this.activeSrv.selectedLink.angleRad,	pending
src/app/component/edit-panel/edit-panel.component.ts	2087	topology-or-consumer	shape-frame	this.activeSrv.selectedForce.angleRad,	pending
src/app/component/edit-panel/edit-panel.component.ts	2125	topology-or-consumer	point-topology	const grounded = link.joints.filter(	pending
src/app/component/edit-panel/edit-panel.component.ts	2126	topology-or-consumer	point-topology	(joint) => joint instanceof RealJoint && joint.ground && !(joint instanceof PrisJoint)	pending
src/app/component/edit-panel/edit-panel.component.ts	2129	topology-or-consumer	compound-material	if (link.subset.length > 0) {	pending
src/app/component/edit-panel/edit-panel.component.ts	2179	topology-or-consumer	point-topology	const joint = link.joints.find((candidate) => candidate.id === id);	pending
src/app/component/edit-panel/edit-panel.component.ts	2182	topology-or-consumer	point-topology	return uniformBodyOf(link.joints).centroid;	pending
src/app/component/edit-panel/edit-panel.component.ts	2323	topology-or-consumer	shape-frame	link.massMoI,	pending
src/app/component/edit-panel/edit-panel.component.ts	2331	topology-or-consumer	shape-frame	massMoI: this.nup.formatValueAndUnit(inertia, display),	pending
src/app/component/edit-panel/edit-panel.component.ts	2427	topology-or-consumer	shape-frame	this.activeSrv.selectedLink.angleRad,	pending
src/app/component/edit-panel/edit-panel.component.ts	2440	topology-or-consumer	point-topology	const joints = this.activeSrv.selectedLink.joints;	pending
src/app/component/edit-panel/edit-panel.component.ts	2453	topology-or-consumer	shape-frame	? this.activeSrv.selectedLink.angleRad	pending
src/app/component/edit-panel/edit-panel.component.ts	2454	topology-or-consumer	shape-frame	: this.activeSrv.selectedLink.angleRad + Math.PI;	pending
src/app/component/edit-panel/edit-panel.component.ts	2469	topology-or-consumer	shape-frame	this.activeSrv.selectedForce.angleRad,	pending
src/app/component/edit-panel/edit-panel.component.ts	2571	topology-or-consumer	point-topology	return link.joints.includes(selectedJoint);	pending
src/app/component/edit-panel/edit-panel.component.ts	2576	topology-or-consumer	point-topology	return (link.joints as RealJoint[]).filter((joint) => {	pending
src/app/component/edit-panel/edit-panel.component.ts	2584	topology-or-consumer	point-topology	return !(joint instanceof PrisJoint);	pending
src/app/component/edit-panel/edit-panel.component.ts	2604	topology-or-consumer	point-topology	if (far instanceof RealJoint && !otherJoints.some((joint) => joint.id === far.id)) {	pending
src/app/component/edit-panel/edit-panel.component.ts	2662	topology-or-consumer	shape-frame	// is about. It used to reach for `selectedLink.angleRad` while a	pending
src/app/component/edit-panel/lock-banner.component.ts	48	topology-or-consumer	point-topology	const joints = this.active.selectedLink.joints;	pending
src/app/component/linkage-table/linkage-table.component.html	51	topology-or-consumer	point-topology	@for (conJoints of connectedJoints(joint); track conJoints) {	pending
src/app/component/linkage-table/linkage-table.component.html	60	topology-or-consumer	point-topology	@for (conJoint of connectedJoints(joint); track conJoint) {	pending
src/app/component/linkage-table/linkage-table.component.html	153	topology-or-consumer	shape-frame	<!-- massMoI -->	pending
src/app/component/linkage-table/linkage-table.component.html	158	topology-or-consumer	shape-frame	value="{{ getLinkProp(link, 'massMoI') }}"	pending
src/app/component/linkage-table/linkage-table.component.html	159	topology-or-consumer	shape-frame	(change)="changeLinkProp($event, link, 'massMoI')"	pending
src/app/component/linkage-table/linkage-table.component.ts	50	topology-or-consumer	point-topology	if (!(joint instanceof RealJoint)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	79	topology-or-consumer	compound-material	if (!(l instanceof RealLink)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	83	topology-or-consumer	point-topology	const jointIndex = l.joints.findIndex((jt) => jt.id === joint.id);	pending
src/app/component/linkage-table/linkage-table.component.ts	84	topology-or-consumer	point-topology	l.joints[jointIndex].x = roundNumber(joint.x, 3);	pending
src/app/component/linkage-table/linkage-table.component.ts	85	topology-or-consumer	point-topology	l.joints[jointIndex].y = roundNumber(joint.y, 3);	pending
src/app/component/linkage-table/linkage-table.component.ts	87	topology-or-consumer	point-topology	l.CoM = RealLink.determineCenterOfMass(l.joints);	pending
src/app/component/linkage-table/linkage-table.component.ts	89	topology-or-consumer	point-topology	// l.bound = RealLink.getBounds(new Coord(l.joints[0].x, l.joints[0].y), new Coord(l.joints[1].x, l.joints[1].y), Shape.line);	pending
src/app/component/linkage-table/linkage-table.component.ts	91	topology-or-consumer	shape-frame	l.d = l.getPathString();	pending
src/app/component/linkage-table/linkage-table.component.ts	103	topology-or-consumer	compound-material	if (!(l instanceof RealLink)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	107	topology-or-consumer	point-topology	const jointIndex = l.joints.findIndex((jt) => jt.id === joint.id);	pending
src/app/component/linkage-table/linkage-table.component.ts	108	topology-or-consumer	point-topology	l.joints[jointIndex].x = roundNumber(joint.x, 3);	pending
src/app/component/linkage-table/linkage-table.component.ts	109	topology-or-consumer	point-topology	l.joints[jointIndex].y = roundNumber(joint.y, 3);	pending
src/app/component/linkage-table/linkage-table.component.ts	110	topology-or-consumer	point-topology	l.CoM = RealLink.determineCenterOfMass(l.joints);	pending
src/app/component/linkage-table/linkage-table.component.ts	111	topology-or-consumer	shape-frame	l.d = l.getPathString();	pending
src/app/component/linkage-table/linkage-table.component.ts	130	topology-or-consumer	point-topology	if (!(joint instanceof PrisJoint)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	142	topology-or-consumer	compound-material	if (!(link instanceof RealLink)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	159	topology-or-consumer	shape-frame	case 'massMoI':	pending
src/app/component/linkage-table/linkage-table.component.ts	166	topology-or-consumer	shape-frame	link.massMoI = Number(($event.target as HTMLInputElement).value);	pending
src/app/component/linkage-table/linkage-table.component.ts	192	topology-or-consumer	shape-frame	return force.angleRad * (180 / Math.PI);	pending
src/app/component/linkage-table/linkage-table.component.ts	282	topology-or-consumer	point-topology	if (!(joint instanceof PrisJoint)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	289	topology-or-consumer	compound-material	if (!(link instanceof RealLink)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	295	topology-or-consumer	shape-frame	case 'massMoI':	pending
src/app/component/linkage-table/linkage-table.component.ts	296	topology-or-consumer	shape-frame	return link.massMoI;	pending
src/app/component/linkage-table/linkage-table.component.ts	306	topology-or-consumer	point-topology	connectedJoints(joint: Joint) {	pending
src/app/component/linkage-table/linkage-table.component.ts	307	topology-or-consumer	point-topology	if (!(joint instanceof PrisJoint || joint instanceof RevJoint)) {	pending
src/app/component/linkage-table/linkage-table.component.ts	310	topology-or-consumer	point-topology	return joint.connectedJoints;	pending
src/app/component/linkage-table/linkage-table.component.ts	317	topology-or-consumer	point-topology	return this.mechanismService.joints.filter((joint) => {	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	32	topology-or-consumer	point-topology	const frames = solved.joints;	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	34	topology-or-consumer	point-topology	const pivot = link.joints.find((joint) => (joint as RealJoint).ground);	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	35	topology-or-consumer	point-topology	const arm = link.joints.find((joint) => joint !== pivot);	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	146	topology-or-consumer	compound-material	.filter((link): link is RealLink => link instanceof RealLink)	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	163	topology-or-consumer	point-topology	if (link.joints.some((joint) => (joint as RealJoint).input)) {	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	166	topology-or-consumer	point-topology	const grounded = link.joints.filter((joint) => (joint as RealJoint).ground).length;	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	170	topology-or-consumer	point-topology	if (grounded > 1 || link.joints.length < 2) {	pending
src/app/component/mechanism-panel/mechanism-panel.component.ts	206	topology-or-consumer	point-topology	const ends = link.joints;	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	196	topology-or-consumer	point-topology	return this.active.selectedParts.filter((part): part is RealJoint => part instanceof RealJoint);	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	200	topology-or-consumer	compound-material	return this.active.selectedParts.filter((part): part is RealLink => part instanceof RealLink);	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	204	topology-or-consumer	point-topology	return this.joints.length > 0 && this.joints.length === this.active.selectedParts.length;	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	241	topology-or-consumer	shape-frame	this.forces.map((force) => (field === 'angle' ? force.angleRad : force.mag)),	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	289	topology-or-consumer	point-topology	link.joints.length === 2 &&	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	290	topology-or-consumer	compound-material	link.subset.length === 0 &&	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	298	topology-or-consumer	point-topology	[this.joints.length, 'joint', 'joints'],	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	314	topology-or-consumer	point-topology	this.joints.map((joint) => joint[axis]),	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	321	topology-or-consumer	shape-frame	this.links.map((link) => (field === 'angle' ? link.angleRad : link[field])),	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	360	topology-or-consumer	point-topology	this.joints.map((joint) => this.mechanism.sliderFor(joint)?.ground ?? joint.ground === true)	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	365	topology-or-consumer	point-topology	return this.common(this.joints.map((joint) => joint.isWelded === true));	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	369	topology-or-consumer	point-topology	return this.common(this.joints.map((joint) => this.grid.isAttachedToSlider(joint)));	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	412	topology-or-consumer	point-topology	return this.common(this.joints.map((joint) => joint.showCurve === true));	pending
src/app/component/multi-edit-panel/multi-edit-panel.component.ts	498	topology-or-consumer	point-topology	this.mechanism.joints,	pending
src/app/component/new-grid/new-grid.component.html	93	render-and-gesture	point-topology	@if (mechanismSrv.joints.length == 0) {	pending
src/app/component/new-grid/new-grid.component.html	1648	render-and-gesture	compound-material	@if (gridUtils.typeOfLink(link) == 'R' && link.subset.length == 0) {	pending
src/app/component/new-grid/new-grid.component.html	1788	render-and-gesture	shape-frame	style="transform: rotateZ({{ force.angleRad }}rad)"	pending
src/app/component/new-grid/new-grid.component.ts	540	render-and-gesture	point-topology	this.mechanismSrv.joints,	pending
src/app/component/new-grid/new-grid.component.ts	623	render-and-gesture	compound-material	if (value instanceof RealLink) return 'RealLink';	pending
src/app/component/new-grid/new-grid.component.ts	624	render-and-gesture	point-topology	if (value instanceof PrisJoint) return 'PrisJoint';	pending
src/app/component/new-grid/new-grid.component.ts	625	render-and-gesture	point-topology	if (value instanceof RevJoint) return 'RevJoint';	pending
src/app/component/new-grid/new-grid.component.ts	907	render-and-gesture	compound-material	this.lastRightClick instanceof RealLink ? this.lastRightClick : undefined;	pending
src/app/component/new-grid/new-grid.component.ts	909	render-and-gesture	point-topology	this.lastRightClick instanceof RealJoint ? this.lastRightClick : undefined;	pending
src/app/component/new-grid/new-grid.component.ts	953	render-and-gesture	shape-frame	rotation: (creation.angleRad * 180) / Math.PI,	pending
src/app/component/new-grid/new-grid.component.ts	997	render-and-gesture	point-topology	(clickedObj instanceof RealJoint ||	pending
src/app/component/new-grid/new-grid.component.ts	998	render-and-gesture	compound-material	clickedObj instanceof RealLink ||	pending
src/app/component/new-grid/new-grid.component.ts	1024	render-and-gesture	compound-material	if ((clickedObj as RealLink).subset.length > 1) {	pending
src/app/component/new-grid/new-grid.component.ts	1062	render-and-gesture	point-topology	return force.link.joints.find(	pending
src/app/component/new-grid/new-grid.component.ts	1064	render-and-gesture	point-topology	joint instanceof RealJoint &&	pending
src/app/component/new-grid/new-grid.component.ts	1088	render-and-gesture	compound-material	if ((clickedObj as RealLink).subset.length > 1) {	pending
src/app/component/new-grid/new-grid.component.ts	1114	render-and-gesture	point-topology	(clickedObj instanceof RealJoint ||	pending
src/app/component/new-grid/new-grid.component.ts	1115	render-and-gesture	compound-material	clickedObj instanceof RealLink ||	pending
src/app/component/new-grid/new-grid.component.ts	1211	render-and-gesture	point-topology	: this.mechanismSrv.joints.includes(before);	pending
src/app/component/new-grid/new-grid.component.ts	1235	render-and-gesture	point-topology	this.mechanismSrv.joints,	pending
src/app/component/new-grid/new-grid.component.ts	1238	render-and-gesture	point-topology	if (closure.joints.length === 0) return undefined;	pending
src/app/component/new-grid/new-grid.component.ts	1239	render-and-gesture	point-topology	const xs = closure.joints.map((joint) => joint.x);	pending
src/app/component/new-grid/new-grid.component.ts	1240	render-and-gesture	point-topology	const ys = closure.joints.map((joint) => joint.y);	pending
src/app/component/new-grid/new-grid.component.ts	1400	render-and-gesture	point-topology	this.mechanismSrv.joints,	pending
src/app/component/new-grid/new-grid.component.ts	1545	render-and-gesture	point-topology	this.mechanismSrv.joints,	pending
src/app/component/new-grid/new-grid.component.ts	1829	render-and-gesture	point-topology	link.joints.find(	pending
src/app/component/new-grid/new-grid.component.ts	1831	render-and-gesture	point-topology	joint instanceof RealJoint &&	pending
src/app/component/new-grid/new-grid.component.ts	1873	render-and-gesture	point-topology	const other = link.joints.find((joint) => joint !== pin) ?? pin;	pending
src/app/component/new-grid/new-grid.component.ts	1888	render-and-gesture	point-topology	for (const joint of force.link.joints) {	pending
src/app/component/new-grid/new-grid.component.ts	1889	render-and-gesture	point-topology	if (!(joint instanceof RealJoint) || joint.links.length > 1) continue;	pending
src/app/component/new-grid/new-grid.component.ts	2172	render-and-gesture	point-topology	const reference = this.activeObjService.selectedLink.joints[0];	pending
src/app/component/new-grid/new-grid.component.ts	2302	render-and-gesture	point-topology	link.joints.forEach((joint) => {	pending
src/app/component/new-grid/new-grid.component.ts	2304	render-and-gesture	point-topology	if (!(joint instanceof RealJoint)) return;	pending
src/app/component/new-grid/new-grid.component.ts	2306	render-and-gesture	point-topology,compound-material	if (other instanceof SliderBlock) other.joints.forEach(add);	pending
src/app/component/new-grid/new-grid.component.ts	2321	render-and-gesture	compound-material	const block = joint.links.find((link): link is SliderBlock => link instanceof SliderBlock);	pending
src/app/component/new-grid/new-grid.component.ts	2322	render-and-gesture	point-topology	const itself = new Set([joint.id, ...(block?.joints.map((member) => member.id) ?? [])]);	pending
src/app/component/new-grid/new-grid.component.ts	2391	render-and-gesture	point-topology	const other = this.mechanismSrv.joints.find(	pending
src/app/component/new-grid/new-grid.component.ts	2394	render-and-gesture	point-topology	if (!(other instanceof RealJoint) || !this.gridUtils.isHoldAnchor(other)) return undefined;	pending
src/app/component/new-grid/new-grid.component.ts	2419	render-and-gesture	point-topology	`${heldBySentence(bars, this.mechanismSrv.joints)}. Release one to move joint ${joint.name || joint.id}.`,	pending
src/app/component/new-grid/new-grid.component.ts	2428	render-and-gesture	point-topology	`Joint ${joint.name || joint.id} can go no further while ${holdList(bars, this.mechanismSrv.joints)} holds.`,	pending
src/app/component/new-grid/new-grid.component.ts	2453	render-and-gesture	compound-material	if (!(link instanceof RealLink) || this.mechanismSrv.isLockedTarget(link)) continue;	pending
src/app/component/new-grid/new-grid.component.ts	2454	render-and-gesture	point-topology	const a = this.mechanismSrv.joints.find((joint) => joint.id === bar.a);	pending
src/app/component/new-grid/new-grid.component.ts	2455	render-and-gesture	point-topology	const b = this.mechanismSrv.joints.find((joint) => joint.id === bar.b);	pending
src/app/component/new-grid/new-grid.component.ts	2641	render-and-gesture	point-topology	const joint = holds.find((lock): lock is RealJoint => lock instanceof RealJoint);	pending
src/app/component/new-grid/new-grid.component.ts	2742	render-and-gesture	point-topology	? (this.activeObjService.selectedLink?.joints ?? [])	pending
src/app/component/new-grid/new-grid.component.ts	2900	render-and-gesture	point-topology	this.mechanismSrv.joints.filter((joint) => !this.isCylinderInterior(joint)),	pending
src/app/component/new-grid/new-grid.component.ts	2920	render-and-gesture	point-topology	const overAJoint = this.mechanismSrv.joints.some(	pending
src/app/component/new-grid/new-grid.component.ts	2923	render-and-gesture	point-topology	!(joint instanceof PrisJoint) &&	pending
src/app/component/new-grid/new-grid.component.ts	2936	render-and-gesture	compound-material	(link) => link instanceof RealLink && !this.isCylinderMemberLink(link)	pending
src/app/component/new-grid/new-grid.component.ts	3078	render-and-gesture	point-topology	.filter((other) => other.id !== joint.id && !(other instanceof PrisJoint));	pending
src/app/component/new-grid/new-grid.component.ts	3105	render-and-gesture	point-topology	.filter((other) => !memberIds.has(other.id) && !(other instanceof PrisJoint));	pending
src/app/component/new-grid/new-grid.component.ts	3229	render-and-gesture	point-topology	if (!solved || solved.joints[0].length === 0) return;	pending
src/app/component/new-grid/new-grid.component.ts	3283	render-and-gesture	point-topology	joints: this.mechanismSrv.joints.map((joint) => ({	pending
src/app/component/new-grid/new-grid.component.ts	3302	render-and-gesture	point-topology	const joints = new Map(was.joints.map((joint) => [joint.id, joint]));	pending
src/app/component/new-grid/new-grid.component.ts	3305	render-and-gesture	point-topology	this.mechanismSrv.joints.forEach((joint) => {	pending
src/app/component/new-grid/new-grid.component.ts	4080	render-and-gesture	point-topology	this.lastLeftClickType === 'Joint' && this.lastLeftClick instanceof RealJoint	pending
src/app/component/new-grid/new-grid.component.ts	4115	render-and-gesture	point-topology	joint1.connectedJoints.push(joint2);	pending
src/app/component/new-grid/new-grid.component.ts	4116	render-and-gesture	point-topology	joint2.connectedJoints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4133	render-and-gesture	point-topology	this.activeObjService.prevSelectedJoint.connectedJoints.push(joint2);	pending
src/app/component/new-grid/new-grid.component.ts	4134	render-and-gesture	point-topology	joint2.connectedJoints.push(this.activeObjService.prevSelectedJoint);	pending
src/app/component/new-grid/new-grid.component.ts	4164	render-and-gesture	point-topology	joint1.connectedJoints.push(joint2);	pending
src/app/component/new-grid/new-grid.component.ts	4165	render-and-gesture	point-topology	joint2.connectedJoints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4176	render-and-gesture	point-topology	this.activeObjService.selectedLink.joints.forEach((j) => {	pending
src/app/component/new-grid/new-grid.component.ts	4177	render-and-gesture	point-topology	if (!(j instanceof RealJoint)) {	pending
src/app/component/new-grid/new-grid.component.ts	4180	render-and-gesture	point-topology	j.connectedJoints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4181	render-and-gesture	point-topology	joint1.connectedJoints.push(j);	pending
src/app/component/new-grid/new-grid.component.ts	4193	render-and-gesture	point-topology	this.activeObjService.selectedLink.lastSelectedSublink.joints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4196	render-and-gesture	point-topology	this.activeObjService.selectedLink.joints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4203	render-and-gesture	shape-frame	this.activeObjService.selectedLink.getPathString();	pending
src/app/component/new-grid/new-grid.component.ts	4227	render-and-gesture	point-topology	joint1.connectedJoints.push(joint2);	pending
src/app/component/new-grid/new-grid.component.ts	4228	render-and-gesture	point-topology	joint2.connectedJoints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4277	render-and-gesture	point-topology	this.activeObjService.prevSelectedJoint.connectedJoints.push(joint2);	pending
src/app/component/new-grid/new-grid.component.ts	4278	render-and-gesture	point-topology	joint2.connectedJoints.push(this.activeObjService.prevSelectedJoint);	pending
src/app/component/new-grid/new-grid.component.ts	4305	render-and-gesture	point-topology	joint1.connectedJoints.push(joint2);	pending
src/app/component/new-grid/new-grid.component.ts	4306	render-and-gesture	point-topology	joint2.connectedJoints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4317	render-and-gesture	point-topology	this.activeObjService.selectedLink.joints.forEach((j) => {	pending
src/app/component/new-grid/new-grid.component.ts	4318	render-and-gesture	point-topology	if (!(j instanceof RealJoint)) {	pending
src/app/component/new-grid/new-grid.component.ts	4321	render-and-gesture	point-topology	j.connectedJoints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4322	render-and-gesture	point-topology	joint1.connectedJoints.push(j);	pending
src/app/component/new-grid/new-grid.component.ts	4325	render-and-gesture	point-topology	this.activeObjService.selectedLink.joints.push(joint1);	pending
src/app/component/new-grid/new-grid.component.ts	4455	render-and-gesture	point-topology	const anchor = link.joints[0];	pending
src/app/component/new-grid/new-grid.component.ts	4456	render-and-gesture	point-topology	return solved?.joints[0]?.find((candidate) => candidate.id === anchor.id) ?? anchor;	pending
src/app/component/new-grid/new-grid.component.ts	4528	render-and-gesture	point-topology	const frames = mechanism?.isMechanismValid() ? mechanism.joints : undefined;	pending
src/app/component/new-grid/new-grid.component.ts	4534	render-and-gesture	point-topology	if (!(joint instanceof PrisJoint) || !joint.ground) continue;	pending
src/app/component/new-grid/new-grid.component.ts	4568	render-and-gesture	point-topology	this.mechanismSrv.driveSpeedOf(joint instanceof RealJoint ? joint : undefined)	pending
src/app/component/new-grid/new-grid.component.ts	4740	render-and-gesture	compound-material	link instanceof RealLink &&	pending
